id;dataType;band;truePoints;falsePoints;overallScore;trueScore;falseScore;avgScore;avgTrue;avgFalse;minTrue;maxTrue;minFalse;maxFalse
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;coastal_aerosol;7678;254466;13273.598721698858;417.8068002983928;12855.791921400465;0.05063476074866813;0.054416097981035784;0.0505206664992591;0.0;0.0793;0.0;0.1508
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;blue;7678;254466;21045.893410023302;690.5419001728296;20355.351509850472;0.0802837120438511;0.0899377312025045;0.07999242142309963;0.0;0.148;0.0;0.5505
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;green;7678;254466;30312.599407231435;1019.6773000843823;29292.922107147053;0.11563339007275175;0.13280506643453793;0.11511526925855341;0.0;0.2161;0.0;0.5815
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;red;7678;254466;43087.75149878487;1493.4095995277166;41594.34189925715;0.16436672782434414;0.19450502728936137;0.16345736522465537;0.0;0.3287;0.0;0.5979
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;veg_red_1;7678;254466;50816.58330341894;1727.2877996638417;49089.2955037551;0.19384988137595727;0.22496585043811432;0.19291101956157247;0.0;0.3714;0.0;0.5146
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;veg_red_2;7678;254466;57915.86599609768;1876.4535004347563;56039.412495662924;0.22093149565161774;0.2443935270167695;0.22022357602061934;0.0;0.3905;0.0;0.4927
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;veg_red_3;7678;254466;63813.303196429275;2028.6082999408245;61784.69489648845;0.24342843321391783;0.26421051054191513;0.24280137580851058;0.0;0.4205;0.0;0.5398
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;nir;7678;254466;67695.18129932228;2142.0939996242523;65553.08729969803;0.25823662299851335;0.2789911434780219;0.25761039706561206;0.0;0.4468;0.0;0.5695
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;veg_red_4;7678;254466;71252.96420083847;2240.3174005150795;69012.64680032339;0.2718084877046145;0.29178398027026303;0.2712057673729433;0.0;0.4608;0.0;0.5912
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;water_vapour;7678;254466;71662.98519404233;2253.4969997555017;69409.48819428682;0.2733725936662381;0.29350052093715834;0.27276527392377303;0.0;0.4223;0.0;0.5617
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;swir_1;7678;254466;85731.1515026018;2741.7600009143353;82989.39150168747;0.3270383892158577;0.35709299308600356;0.32613155196249194;0.0;0.52;0.0;0.7067
