id;dataType;band;truePoints;falsePoints;overallScore;trueScore;falseScore;avgScore;avgTrue;avgFalse;minTrue;maxTrue;minFalse;maxFalse
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;coastal_aerosol;7678;254466;120589.68603076041;2801.097664028406;117788.588366732;0.460013145564119;0.36482126387449937;0.46288536923098567;0.0;1.0;0.0;1.0000001
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;blue;7678;254466;119058.75003825128;3350.823411181569;115707.92662706971;0.4541730882196475;0.43641878238884724;0.4547087887068202;0.0;1.0;0.0;1.0000001
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;green;7678;254466;121529.52396757156;3687.7102451622486;117841.81372240931;0.4635983427718031;0.4802956818393134;0.4630945341319049;0.0;1.0000001;0.0;1.0000001
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;red;7678;254466;123159.0389000643;3890.0314777493477;119269.00742231496;0.4698144489290783;0.506646454512809;0.46870311720353586;0.0;1.0;0.0;1.0000001
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;veg_red_1;7678;254466;118850.20816311985;3773.307780608535;115076.90038251132;0.45337756409881536;0.49144409750046036;0.4522289829781241;0.0;1.0;0.0;1.0000001
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;veg_red_2;7678;254466;116557.98133489303;3790.329354941845;112767.65197995119;0.44463341268498624;0.49366102565014913;0.4431541030233948;0.0;1.0;0.0;1.0000001
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;veg_red_3;7678;254466;115907.5882966239;3731.469099521637;112176.11919710226;0.44215236014031944;0.48599493351414913;0.44082949862497256;0.0;1.0000001;0.0;1.0000001
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;nir;7678;254466;114949.80353379436;3660.463331669569;111289.34020212479;0.4384987012244963;0.47674698250450237;0.4373446362269411;0.0;1.0000001;0.0;1.0000001
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;veg_red_4;7678;254466;116208.01425145753;3640.9826988577843;112567.03155259974;0.44329839420874606;0.47420978104425426;0.44236570525178115;0.0;1.0000001;0.0;1.0000001
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;water_vapour;7678;254466;116932.48931531608;3694.7650457918644;113237.72426952422;0.4460620472538608;0.4812145149507508;0.4450013922076985;0.0;1.0;0.0;1.0000001
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;swir_1;7678;254466;139454.22363091633;4091.4461916983128;135362.777439218;0.5319756455647138;0.5328791601586758;0.5319483838281657;0.0;1.0;0.0;1.0000001
012b8863-976c-44e1-a491-9adf19c1cbba_0;preScores;swir_2;7678;254466;133633.18525007367;3911.3570396602154;129721.82821041346;0.5097701463702151;0.5094239436910935;0.5097805923400904;0.0;1.0;0.0;1.0000001
